10 3879
812 conflict 3
813 along 5
814 talking 7
815 hacking 8
816 west 1
817 prosecutor 2
818 andor 5
819 inspired 1
820 giving 6
821 second 6
822 internet 6
823 insightful 1
824 racists 2
825 going 28
826 frankly 2
827 exactly 11
828 federal 7
829 happy 5
830 poorly 2
831 logical 1
832 transgender 2
833 conservative 16
834 accurate 2
835 weekend 1
836 discovered 2
837 volunteer 1
838 folks 6
839 evolution 1
840 materials 1
841 universe 3
842 corner 1
843 multi 4
844 obama 15
845 collapse 5
846 state 19
847 might 14
848 worthless 3
849 officers 3
850 apparently 7
851 control 10
852 definition 2
853 entirely 4
854 john 3
855 touch 2
856 serious 5
857 maintenance 3
858 act 7
859 destroying 5
860 admire 1
861 organized 3
862 council 4
863 completely 16
864 wage 2
865 pensions 1
866 weapons 10
867 lack 5
868 answers 3
869 combat 2
870 executive 11
871 evidence 16
872 details 4
873 historical 3
874 brothers 2
875 vietnamese 2
876 pathetic 2
877 middle 11
878 candidates 8
879 decency 5
880 law 7
881 business 15
882 before 26
883 military 13
884 swamp 2
885 remains 5
886 cash 1
887 automatically 1
888 whenever 3
889 nations 6
890 fit 2
891 donnie 2
892 therapy 2
893 russia 15
894 scandal 1
895 pass 5
896 voted 16
897 minorities 1
898 embarrassment 3
899 corrupt 5
900 wouldn't 8
901 industry 7
902 code 2
903 spending 6
904 narrow 1
905 core 1
906 readers 4
907 seen 1
908 close 5
909 neighbors 1
910 truly 5
911 male 6
912 normal 10
913 dependent 2
914 honest 3
915 discussion 6
916 issue 9
917 stayed 1
918 manufactured 2
919 suffer 2
920 paper 5
921 thoughts 8
922 cheap 2
923 endless 1
924 day 6
925 describes 3
926 mistakes 6
927 disclosure 2
928 interest 5
929 turned 5
930 breaking 2
931 proportion 2
932 missiles 3
933 poor 12
934 football 5
935 process 17
936 speaking 4
937 plain 2
938 precedent 4
939 usually 4
940 threatening 1
941 looked 5
942 checked 2
943 offered 4
944 blowing 2
945 shutdown 4
946 attempts 4
947 makes 5
948 expansion 4
949 may 10
950 seeing 5
951 however 8
952 interpretation 3
953 little 13
954 calls 2
955 played 3
956 reliable 1
957 contrary 1
958 bring 7
959 used 10
960 voters 15
961 choices 2
962 stupid 11
963 comey's 3
964 poverty 3
965 revenue 4
966 charles 5
967 accomplishment 1
968 silent 1
969 increasing 4
970 another 29
971 realization 1
972 did 17
973 discussed 2
974 perspective 3
975 comments 14
976 talented 3
977 funny 2
978 wants 9
979 penalty 2
980 continued 5
981 describing 3
982 got 8
983 moment 9
984 filibuster 2
985 investigations 5
986 doctor 4
987 simply 11
988 main 1
989 premiums 3
